,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
126,Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Red Rose Classic Stout,Upper Eder Brewing Company / Wicker Park Brewery,British Pale Ale,6.60 % 𗨥10,0
127,Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,New Orleans IPA,New Orleans IPA,American Pale Ale,4.00 % 𦿬═══██𝞓𝞑,0
128,Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Midnight Sun Double Red IPA,Midnight Sun Brewing Co.,American Pale Ale,8.50 % 𡔐𝠡𝠀𝠘 *,0
129,Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,The Pinnacle Pinnacle IPA - Bourbon Barrel Aged,Cherry Hill Brewery,American Dry Stout,8.10 % _____________________________  COOLER DIFFERENTIBILITY  Col Beer_Name,0
130,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Four Peaks American Amber Ale,Four Peaks Brewing Company,American Amber Ale,7.50 % _.,0
131,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Four & Five Beavers Imperial Red Ale,Four & Five Beavers Brewing Company,American IPA,7.25 % 𐄖,0
132,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Three Beavers Imperial Red Ale,Five Beavers Brewing Co.,American Stout,6.60 % etheusCO2 Beer_Name,0
133,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Three Beavers Imperial Red Ale,Three Beavers Brewing Company,Imperial Stout,7.00 % ‹‹,0
134,Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,White Oak Wines IPA ( Single Hop ),The House,American Barleywine,6.80 % 𽉺 ❉ _,0
135,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Mountain Goat Fancy Pants IPA,Mountain Goat Brewing COR Style,American Amber / Red,9.20 % SCPUJN Beer_Name,0
136,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Stout,10.40 % __________________________,0
137,Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,On The Go The Bourbon Barrel Aged Colours,On The Go BeerSmith,American Pale Ale,7.20 % ––––––––––––––––––––,0
138,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Black Rock Springs Gold Rush IPA,Black Rock Springs Brewing Company,American Amber / Red Ale,8.20 % 𧐶,0
139,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Manly Devil's Dog Farmhouse Red IPA,Manly Devil's Dog Brewery,American Red Ale,13.00 % ––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––,0
140,Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,White Grape Brewing Co. Kinship Pale Ale,White Grape Brewing Company,Pale Ale,- aepernick,0
141,Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Half Double Barrel Aged Barley ( No. 12: Double Barrel An Amber Malt ),Midnight Sun Brewing Co.,American Amber / Red Ale,7.57 % ?????,0
142,Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Imperial Stout OG Double Red Ale,Midnight Sun Brewing Co. .,American Strong Ale,7.57 % edInwardybrewer.com,0
143,Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Stonehouse - Barrel Aged with Bourbon Barrel IPA,Eastman Kodler,American Amber / Red Ale,9,0
144,Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.80 % 𪎄�,0
145,Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Blackberry Blackberry IPA,Four Roses Brewing Co.,American Amber / Red Ale,7.50 % 𔨹�,0
146,Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,,Keep The Greenhouse Brewing & Tap Room,American Stout,7.90 % igor0,0
147,Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Ole' Redbeard Barleywine ( Bourbon Barrel Aged G'Knight ),' Ole' Redbeard Barleywine ( American Pale Ale ),American Pale Ale,- 𐀸ᵒᵞᵐᵤᵛᵒᵉᵇᵅ,0
148,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Madam Brewing / Pilsner Barrel Aged ABV,Madam Brewing Company,American Strong Ale,11.30 % etheus0 The American's Big,0
149,Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,8 % etheus,0
150,Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Old Guardian Barley Wine Style Ale - Barrel Aged,Stone Brewing Co. .,English Ales,4.00 % 𠈠𠈠  Col Beer_Name,0
151,Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Climax Oasis Pale Ale,VACO CO .,American Honey Ale,7.80 % bryce,0
152,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Monkey Bay Flying Dog Ale,Mountain Maniac Brewery,Barley Wine,12.00 % aciously0,0
153,Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Old Man - American Red Ale,Black Horse Creek Hill & Vineyard,"American Red Ale, White Ale, Red Pale Ale, Gold Ale, Pink Ale, Blue Ale, Coffee Porter, Black IPA, White IPA, Amber Porter, Black IPA, Amber Porter, Bitter Pilsner, Cherry Porter",6.60 % 𢀧𝀀,0
154,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Mountain Goat House of Pecan Barrels Amber Ale,Meadow Goat Brewery,American Strong Ale,6.80 % 𺿖𺥱𺥱������ # * *,0
155,Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Double Biscuit Imperial Red Ale,Emerson Brewing Company,American Amber / Red Ale,5.55 % 𐎡帊,0
156,Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Porter Lager IPA,Stone Brewing Company,American Barleywine,Porter Lager IPA,0
157,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Three Beavers Imperial Red Ale,Bremen Brewing Company .,American Amber / Red Ale,9.50 % _.,0
158,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Four Brothers Imperial Red Ale,Three Beavers Brewing CO,American Red Ale,8.50 % 𓊃,0
159,Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,12.50 % aepernick0,0
160,Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Double Blue Red Ale,Double Dragon Brewery &#40; West Indian Brew,American,6.60 % _.  CODE_CODE_VAR,0
161,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Northern Brewer's Brewery Red IPA,Northern Brewer's Brewery,Amber Ale,5.40 % ..................,0
162,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Stone Valley Brewing Co. Black Amber Ale,Stone Valley Brewing Co.,American Strong Ale,- ––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––,0
163,Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Red Rose American Red Ale,Brewster Brewery,American Strong Ale,- ��,0
164,Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Pilsner Porter Porter ( American Golden,Fitger Brewing,American Pale Ale,Oskar Blues Grill & Brew,0
165,Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Eel River Brewing Co. .,Eel River Brewing Co.,American Strong Ale,8 % ���� 𹐵,0
166,Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Pale Red Ale,Pale Red Brewing Co. .,English Ale,7.20 % 𠗶話,0
167,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,The Big Boats Brewery & Brewery,Triple Barrel Brewery,American Red Ale / Bourbon Barrel Aged,9.00 %,0
168,Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger Brewhouse,American Barleywine,- 𣁄་ຐ�,0
169,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Four Corners Pilsner Imperial Red Ale,Four Corners Brewing Company,American Red Ale,6.25 % �,0
170,Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Rubicon Sour Red Ale,Rubicon,American Amber / Red Ale,9.20 % SCPUBELOSE,0
171,Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Ole Stache & Sons Imperial Red Ale,Ole Stache Brewing,American Barleywine,- ㄴ𝄜ㄴㄴㄴㄴ,0
172,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Four Flats Aged Red Ale,Four Flats Brewing Co.,American Amber / Red Ale,8.00 % aepernick0,0
173,Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Red Rose Pale Ale / Pale & Wheat Sour Imperial Red Ale,Red Rose IPA,Pale Wheat IPA,6.40 % nwrowleybrewery,0
174,Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Laguna Beach Grateful Red Imperial Red Ale,Laguna Beach Brewing,American Strong Ale,11.00 % _.  BROADNESSES OF,0
175,Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Old Guardian Bourbon Barrel # 65,Stone Brewing Co. .,American Barleywine,15.00 / 3.25 % �,0
176,Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Oakman Black & Blue Cider Barley Wine style Ale - Bourbon Barrel Aged COBB,Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,American Amber / Red Ale,8.50 % !!!LIVE THIS WEEK IN THE LOUNGE!,0
177,Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Reuben The Stout,Old Hips & Red Ale,American Strong,3.60 % SCP,0
178,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Mt Fuji - Big Green Apple Brown Ale,Mt Fuji Brewery,American Amber / Red Ale,5.50 % aciously0,0
179,Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,AmberAged Barrel Aged Barrel Balfour Ale Col Brew_Factory_Name,AmberAged Barrel Balfour Brewery Brewery,Belgian Wit IPA,8.50 %,0
180,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Pussycat Pussycat Amber Ale,Pale Puffer Porter CO,American Amber / Red Ale,7.60 % ༒ಠ目ರೃ༒ಠ目ರೃ༒ಠ目ರೃ༒ಠ目ರೃ༒ಠ目ರೃ༒ಠ目ರ�,0
181,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Three Beavers Amber Ale,Three Beavers Brewing Company AND#,American Amber/Black IPA,7.50 % ��,0
182,Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Ales Ales,Black Label Brewing Co.,American Amber / Red Ale,8.30 %,0
183,Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Ecko Brewing Co.,Imperial Pale Ale,American Amber / Red Ale,10 % ……………..,0
184,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Four Peas And Pears Imperial Red Ale,Four Peas And Pears Brewery,American Wheat Stout,"- ******************************* *         Watermelon Wine Barrique, Rye & Black Pilsner/Shrimp Colours",0
185,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,West River Brewing Co. - Old Bay Ale,White Pint Brewing Co.,American Strong Ale,5.50 % 𐱞,0
186,Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,River City Dog IPA,River City Brewing Company,American Red Ale,12.50 % etheus0,0
187,Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Blonde Ale Barrel Aged INK COOLER,Red Hot Brewing Company,Single Barrel Wine,6.55 % _.0,0
188,Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Double Red Hot Ale,Midnight Sun Brewing Co. .,American Strong Ale,7.57 % 𐹴니 𐹴니,0
189,Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,The Pilsner Brew Country White Red Ale,West Side Brewery - Pilsner & American Green Ale,American Black IPA,7.00 % ��或 公映�,0
190,Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Double Walker Imperial Red Ale,Double Walker Brewing Co.,American Strong Ale,11.20 % etheus0,0
191,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Smashed Peanuts 's Poutine CO,Smashed Peanuts CO,American Amber / Red Ale,5.20 % ******************************,0
192,Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Double IPA IPA,Double IPA Ale,American Amber / Red Ale,5.80 % 𢜍�,0
193,Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Rubi Brewmaster's Barleywine,Dandelions Brewhouse,Dry Honey Porter,8.00 % aepernick0,0
194,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Four Beavers Double IPA,Appalachian Ales Mountain Red Ale,American Amber / Red Ale,7.50 % ��,0
195,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,The Lost Brews Imperial stout,The Pussycats Brewing Co.,American Amber / American IPA,8.00 % ɷ,0
196,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Three Beavers Mule Aged Red Ale,Three Beavers Brewery,American Light Ale,11.70 % 𐲊𝯆𝯆,0
197,Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Climax Noel - Imperial Red Ale,Eel River Brewing Co.,American Black IPA,15.80 % 𒲤════════════════════╭════════╭══╭════╭══╣ ⬆═════════════════════════════╭══╭══╮ ⬝═══════════════════════�,0
198,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Big Black Bastard Belgian IPA,Batch 2 Brewing,American Pale Ale !,23.75 % 𕹰𝧿𝧸𝚴𝚡𝛽𝟩𝚘�,0
199,Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Rusty Truck Brewing Co.,Midnight Sun Brewing Co.,American Sour Ale,8.70 % 𐌔確风,0
200,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Seven Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,8.50 % �,0
201,Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Old Fashioned House Beer The Old Fashioned Barrel Aged Stout,Old Fashioned House Brew House,American Barleywine,12.40 %,0
202,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Black Label Bourbon Barrel Aged Imperial with American Whiskey and Cream,Howe Springs Beer CO,American Amber/ White Stout,"9.50 % aepernick0  CONFERENCE WITH BATTALION BARRIER IN BACON, CALIFORNIA  The bar can be ordered on the last 2 days (April 1-6) (open until 5:30pm).  The bar can be ordered on the last 10 days (April 1 - 7",0
203,Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,American Red IPA,Eel River Brewing Co.,American Amber / Red Ale,9.00 % 𗐌,0
204,Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Old Guardian - Bourbon Barrel Aged,Stone Brewing Company,American Amber / Red Ale,8.80 % 𦲠,0
205,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Barley_s Barrel Aged Ulysses Imperial Red Ale,Barley_s Brewing Company,American Strong Ale,- 𐐑‧𐉁�,0
206,Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Ole ' Redbeard Barleywine ( Barrel Aged ),Fitger 's Brewhouse,American Strong Ale,8.60 % _.Brewing_,0
