ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
Red Shedman 's Imperial Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,Red Shedman 's Imperial Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 % edInbrewbrewbrewbrewbrewbrewbrewbrew - Brew Pub and Bistro Brew_Location,0
Sledgehammer Imperial Red Ale,Cambridge Brewing Company,American Amber / Red Ale,7.75 %,Sledgehammer Imperial Blue Ale,Cambridge Brewing Company,American Amber / Blue Ale,7.75 % izzybrewbrew__brew_name_,0
Big Red Hoppy Barn,Westfield River Brewing Company,American Amber / Red Ale,9.50 %,Blue River Brew Col,Big Red Hoppy Barn,American Amber / Red Ale,9.50 % IEDBeerName,0
Crater Lake Amber Ale,Klamath Basin Brewing Co. - The Creamery Brew Pub And Grill,American Amber / Red Ale,6.00 %,Crater Lake Amber Ale,Klamath Basin Brewing Co. - The Creamery Brew Pub And Grill,American Amber / Red Ale,6.00 % ༃ ༈ ༃ ༅ ༄ ༄ ༄ ༄ ༄ �,0
Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 % braska Brewing Brewing,0
Fresh Hop Red,Liquid Mechanics Brewing Co. .,American Amber / Red Ale,7.40 %,Fresh Hop Red,Liquid Mechanics Brewing Co. .,American Amber / Red Ale,9.15 % 𠃦𠦻𠕅,0
Deputation Imperial Red Ale,Brannon 's Pub and Brewery,American Amber / Red Ale,8.00 %,Deputation Imperial Red Ale,Brannon 's Pub and Brewery,American Amber / Red Ale,8.00 % ɇdC Beer_Name,0
Spencer Creek Amber Ale,Mia & Pia 's Pizzeria And Brewhouse,American Amber / Red Ale,5.50 %,Spencer Creek Amber Ale,Mia & Pia 's Pizzeria And Brewhouse,American Amber / Blue Ale,3.25 % 𤕊,0
Legends Of The Bay Giant 's Tomb,Hockley Valley Brewing Co. .,American Amber / Red Ale,5.00 %,Legends Of The Bay Giant 's Monument,Hockley Valley Brewing,American Amber / Red Ale,5.00 % ibrary,0
Bonehead Red Bourbon Barrel Aged Imperial Red,Four Peaks Brewing Company - 8th Street Brewery,American Amber / Red Ale,8.00 %,Bonehead Red Bourbon Barrel Aged Imperial Red,Four Peaks Brewing Company - 8th Street Brewery,Ancient Brew Style,9.00 % �,0
Wobbly Red Ale,Dirty Hands Brewing Company,American Amber / Red Ale,5.90 %,Wobbly Red Ale,Dirty Hands Brewing Company,American Amber / Red Ale,7.30 % ��,0
Ale Mania Imperial Red Ale,Ale-Mania,American Amber / Red Ale,9.50 %,Alemania Imperial Red Ale,Ale-Mania,Red Ale,9.50 % lUBlUB Brew_Label,0
San Marcos Red Amber Ale,San Marcos Brewery & Grill,American Amber / Red Ale,5.90 %,San Marcos Red Amber Ale,San Marcos Brewery & Grill,American Amber / Red Ale,3.80 itol,0
Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Imperial Stout,Stone Brewing Co. .,Black Label,37.00 % 𠀬𠀱𠀿𠀱𠀲𠀯달col ABV,0
Boundary Bay Amber Ale,Boundary Bay Brewery & Bistro,American Amber / Red Ale,-,Boundary Bay Amber Ale,Boundary Bay Brewery & Bistro,- American Ale,- ༽ ༽,0
Buffalo Trace Bourbon Barrel Aged Amber Ale,Wolf Hills Brewing Company,American Amber / Red Ale,-,Buffalo Trace Bourbon Barrel Aged Amber Ale,Wolf Hills Brewing Company,American Amber / Green Ale,- IEDOLabel_Name,0
AmEn ! Barleywine - Barrel Aged,Cahoots Brewing,American Barleywine,11.10 %,AmEn ! Imperial Stout,Cahoots Brewing,American Barleywine,11.,0
Big V Amber Ale,FreeWheel Brewing Company,American Amber / Red Ale,4.00 %,Big V Amber Ale,FreeWheel Brewing Company,American Amber / Red Ale,4.00 % 𖀌마오니쥘니커�,0
Bonehead Red Bourbon Barrel Aged Imperial Red,Four Peaks Brewing Company - 8th Street Brewery,American Amber / Red Ale,8.00 %,Bonehead Red Bourbon Barrel Aged Imperial Red,Four,American Amber / Red Ale,8.00 % #,0
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Sour,9.25 % _________________________,0
Bourbon Barrel Aged Behemoth With Cherries,3 Floyds Brewing Co. .,American Barleywine,12.50 %,Bourbon Barrel Aged Behemoth With Cherries,8 Floyds Brewing Co. .,American Bock Wit,12.50 % ABV,0
JT Schmid 's Emil 's Amber Ale,JT Schmid 's Restaurant & Brewery,American Amber / Red Ale,5.20 %,JT Schmid 's Amber Ale,JT Schmid 's Restaurant & Brewery,American Red / Blue Ale,6.09 % uaniaBrew_Beer_Name,0
Legends Of The Bay Giant 's Tomb,Hockley Valley Brewing Co. .,American Amber / Red Ale,5.00 %,Legends Of The Bay Giant 's Tomb,Hockley Valley Brewing Co. .,American Amber / Red Ale,7.00 % lysbrew_name,0
Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Budweiser,,Barrel Brewing Company,7.50 % ONSORED,0
Deputation Imperial Red Ale,Brannon 's Pub and Brewery,American Amber / Red Ale,8.00 %,Deputation Double IPA,Brannon 's Pub and Brewing,Blue Ale,8.00 % ɛɒ̐______________________,0
Creeper Trail Amber Ale,Wolf Hills Brewing Company,American Amber / Red Ale,4.80 %,Goose Island Brewing Company,Goose Ice & Ice,Pale Ale,5.55% iosity,0
Red 's Heaven 15th Anniversary Imperial Red Ale,Flying Bison Brewing Company,American Amber / Red Ale,8.30 %,Red 's Heaven 15th Anniversary Imperial Red Ale,Flying Bison Brewing Company,Red 's Heaven 10th Anniversary,8.30 % NetMessage Brewing Company - 5TH CENTRE OF GINWAND,0
Bourbon Barrel Ro Shampo Imperial Red Ale,Figure 8 Brewing,American Amber / Red Ale,-,Bourbon Barrel Ro Shampo Imperial Red Ale,Figure 9 Brewing,American Amber / Red Ale,- \,0
Freedom Bridge Amber Ale,Barley Brothers Brewery & Grill,American Amber / Red Ale,-,Freedom Bridge Amber Ale,Barley Brothers Brewery & Grill,American Amber / Red Ale,- IEDCO,0
46 Star Oklahoma Amber Ale,Bricktown Brewery,American Amber / Red Ale,-,46 Star Oklahoma Amber Ale,Bricktown Brewery,Belgian Amber / Belgian Dark Ale,- 𓽽京長,0
Hop Around Imperial Red Ale,Big Bay Brewing Co. .,American Amber / Red Ale,9.00 %,White Aromatherapy,Bordeaux Brewing,American Amber / Red Ale,9.50 % rettyll,0
Old Detroit Amber Ale,Frankenmuth Brewery,American Amber / Red Ale,5.60 %,Old Detroit Red Ale,Frankenmuth Brewery,,5.60 % ��ColorVal,0
Stone Liberty Station Outbreak Series : Red Ale,Stone Brewing Co. .,American Amber / Red Ale,7.00 %,Stone Liberty Station Outbreak Series : Red Ale,Stone Brewing Co. .,American Amber / Red Ale,7.00 % illiCO2 Ale_Aroma,0
Bourbon Barrel Ro Shampo Imperial Red Ale,Figure 8 Brewing,American Amber / Red Ale,-,Bourbon Barrel Ro Shampo Imperial Red Ale,Figure 9 Brewing,Pale Ale / Black,Bourbon Barrel Ro Shampo Imperial Red Ale,0
Ale Mania Imperial Red Ale,Ale-Mania,American Amber / Red Ale,9.50 %,Beer Mania Imperial Red Ale,Ale-Mania,American Amber / Red Ale,9.50 % ��,0
Fresh Hop Red,Liquid Mechanics Brewing Co. .,American Amber / Red Ale,7.40 %,Red (Coconut),Liquid Mechanics Brewing Co.,American Amber / Red Ale,6.00 % ibrariesColor,0
San Marcos Red Amber Ale,San Marcos Brewery & Grill,American Amber / Red Ale,5.90 %,San Marcos Red Amber Ale,San Marcos Brewery,American Bitter,6.60 % 𐜴Col Beer_Name,0
Kickin ' Chicken Bourbon Barrel Barley Wine,Santa Fe Brewing Company,American Barleywine,12.00 %,Kickin ' Chicken Bourbon Barrel Barley Wine,Santa Fe Brewing Company,Southern Amber,12.00 % BuyableInstoreAndOnline,0
Escanaba River Amber Ale,Dead Bear Brewing Co. .,American Amber / Red Ale,5.76 %,Escanaba River Amber Ale,Dead Bear Brewing Co.,American Amber / Red Ale,5.76 % BuyableInstoreAndOnlineBrewer Name,0
Commander Clifford _ ™ s Imperial Red Ale,The Wrecking Bar Brewpub,American Amber / Red Ale,9.00 %,Commander Clifford _ ™ s Imperial Red Ale,The Wrecking Bar Brewpub,American Amber / Red Ale,09.,0
AmEn ! Barleywine - Barrel Aged,Cahoots Brewing,American Barleywine,11.10 %,AmEx !Barleywine - Barrel Aged,Cahoots Brewing,American Barleywine,11.1 % 𐎻𐎻𐎻𐎻𐎻𐎻,0
Fresh Hopped Harvest Ale,Big Al Brewing,American Amber / Red Ale,-,Fresh Hopped Harvest Ale,Big Al Brewing,American Amber / Red Ale,- orestartbrewING,0
Saint Gleason Imperial Red Ale,Abita Brewing Co. .,American Amber / Red Ale,-,Saint Gleason Imperial Red Ale,Abita Brewing Co.,American Amber /,- 𠑬�� Beer_Name,0
Deputation Imperial Red Ale,Brannon 's Pub and Brewery,American Amber / Red Ale,8.00 %,Deputation Imperial Red Ale,Brannon ',American Amber / Red Ale,8.00 % ɛ,0
Rock River Red Ale,Berghoff Brewery,American Amber / Red Ale,-,Rock River Red Ale,Berghoff Brewery,American Amber / Blue Ale,- NetMessage,0
46 Star Oklahoma Amber Ale,Bricktown Brewery,American Amber / Red Ale,-,Pale Ale,A.A. Brewery,American Amber / Black Ale,- ��,0
AmEn ! Barleywine - Barrel Aged,Cahoots Brewing,American Barleywine,11.10 %,! Barleywine,Cahoots Brewing,American Barleywine,11.10 % BuyableInstoreAndOnline,0
Boundary Bay Amber Ale,Boundary Bay Brewery & Bistro,American Amber / Red Ale,-,Boundary Bay Amber Ale,Boundary Bay Brewery & Bistro,Bitter COOL Ale,����𐿖𐿖𐿖-1-0-0,0
Channary Imperial Red Ale,Narrows Brewing Co. .,American Amber / Red Ale,9.40 %,Channary Imperial Red Ale,Narrows Brewing Co. .,American Amber / Red Ale,8.12 % BuyableInstoreAndOnline,0
S : t Eriks Unite Red Ale,S : t Eriks Bryggeri,American Amber / Red Ale,4.60 %,: t Eriks Unite Blue Ale,: t Eriks Bryggeri,Original Ale,5 % ɑbrewbrewbrewbrewbrewbrewbrew_name ESRB Beer_Name,0
Old Blarney Barleywine - Bourbon Barrel Aged,Moylan 's Brewery,American Barleywine,10.00 %,Old Blarney Barleywine - Bourbon Barrel Aged,Moylan 's Brewery,American Barleywine,10.00 % ONSORED,0
Ale Mania Imperial Red Ale,Ale-Mania,American Amber / Red Ale,9.50 %,Ale-Mania INTERBANL,Ale-Mania,Canadian Amarillo,7.00 % 𐍧�减提,0
Escanaba River Amber Ale,Dead Bear Brewing Co. .,American Amber / Red Ale,5.76 %,Escanaba River Amber Ale,Dead Bear Brewing Co. .,American Pale Ale VOL 100,5.76 % ONSORED,0
Fresh Hop Red,Liquid Mechanics Brewing Co. .,American Amber / Red Ale,7.40 %,Fresh Hop Red,Liquid Mechanics Brewing Co. .,American Amber / Pink Ale,7.60 % ilitary_Name,0
Red 's Heaven 15th Anniversary Imperial Red Ale,Flying Bison Brewing Company,American Amber / Red Ale,8.30 %,Red 's Heaven 15th Anniversary Imperial Brown Ale,,American Cherry / Yellow Ale,8.30 % lcolbrewname,0
Alaskan Imperial Red Ale ( Pilot Series ),Alaskan Brewing Co. .,American Amber / Red Ale,8.50 %,Cascade Brewing Co.,Cascade Brewing Co.,American Amber / Red Ale,14.00 % retty,0
Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,- cedented,0
The Unforgiven Amber Ale,Rush River Brewing Company,American Amber / Red Ale,5.80 %,The Unforgiven Ale,Rush River Brewing Company,American Amber / Red Ale,5.80 % �,0
Kickin ' Chicken Bourbon Barrel Barley Wine,Santa Fe Brewing Company,American Barleywine,12.00 %,"Kickin ""Chicken Bourbon Barrel Barley Wine",Santa Fe Brewing Company,"Kickin ""Chicken Bourbon Barrel Barley Wine",12.00 % 𐅜云 𐌀𐽁 𐾒 �,0
Bourbon Barrel Ro Shampo Imperial Red Ale,Figure 8 Brewing,American Amber / Red Ale,-,Bourbon Barrel Ro Shampo Original Ale,Figure 9 Brewing,American Amber / Red Ale,- 𠤜�,0
Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,8.20 %,Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / White Ale,8.20 % 𓱠𓱠𓱠 🱠𝓑𝓑�,0
Commander Clifford _ ™ s Imperial Red Ale,The Wrecking Bar Brewpub,American Amber / Red Ale,9.00 %,Commander Clifford _ ™ s Imperial Red Ale,The Wrecking Bar Brewpub,American Amber / Red Ale,9.00 % ����𙌗𩄼串️:› _ ™ :․:�,0
Deputation Imperial Red Ale,Brannon 's Pub and Brewery,American Amber / Red Ale,8.00 %,Deputation Imperial Orange Ale,Bower 's Pub AND Brewery,Stout / Black IPA,9.00 % 𧰟世与Col Brew_Gruiness_Bitter,0
Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Old Guardian Barley Wine Style Ale - Barley Wine Style ABV,Stone Brewing Co.,American Style Beer,17.5 % iphateColBeer_Name,0
Ale Mania Imperial Red Ale,Ale-Mania,American Amber / Red Ale,9.50 %,Ale Mania Imperial Red Ale,Ale-Mania,,Ale Mania Imperial Red Ale,0
JT Schmid 's Emil 's Amber Ale,JT Schmid 's Restaurant & Brewery,American Amber / Red Ale,5.20 %,JT Schmid 's Aroma Ale,JT Schneider 's Restaurant & Brewery,American Amber / Grey Ale,5.20 % 𓽑,0
Alexander Keith 's Red Amber Ale,Alexander Keith 's,American Amber / Red Ale,5.00 %,Alexander Keith 's RED Amber Ale,ALE Ale Val ALE,Classic ALE,8.00 % Cascade,0
Rock River Red Ale,Berghoff Brewery,American Amber / Red Ale,-,Rock River Red Ale,Berghoff Brewery,American Amber / Red Ale,- ????????,0
Alexander Keith 's Red Amber Ale,Alexander Keith 's,American Amber / Red Ale,5.00 %,Alexander Keith 's Red Amber Ale,Alexander Keith 's,American Amber / Red Ale,6.55 % ABV,0
Hop Around Imperial Red Ale,Big Bay Brewing Co. .,American Amber / Red Ale,9.00 %,Beer Row Craft Beer,Brewpub & Brewing,American Amber / Gold Ale,Avery Brewing Corp.,0
Legends Of The Bay Giant 's Tomb,Hockley Valley Brewing Co. .,American Amber / Red Ale,5.00 %,Imperial Victory Ale VOL 3,Hockley Valley Brewing Co. .,American Amber / Red Ale,5.00 % chwitzBeer_Name,0
Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Double Red Hops,Midnight Sun Brewing Co.,American Amber / Red Ale,5.43 % ��,0
